AG, Aguascalientas, Aguascalientas
BA, Baja, Calif. (North), Baja, Calif. (Nord)
BJ, Baja, Calif. (South), Baja, Calif. (Sud)
CE, Campeche, Campeche
CH, Chihuahua, Chihuahua
CI, Chiapas, Chiapas
CL, Colima, Colima
CU, Coahuila de Zaragoza, Coahuila de Zaragoza
DF, Distrito, Distrito (Federal)
DO, Durango, Durango
GR, Guerreo, Guerreo
GU, Guanajuato, Guanajuato
HL, Hidalgo, Hidalgo
JL, Jalisco, Jalisco
MC, Michoacan de Ocampo, Michoacan de Ocampo
MR, Morelos, Morelos
MX, Mexico (State), Mexico (&Eacute;tat)
NA, Nayarit, Nayarit
NL, Nuevo Leon, Nuevo Leon
OA, Oaxaca, Oaxaca
PB, Puebla, Puebla
QR, Quintana Roo, Quintana Roo
QU, Queretaro de Arteaga, Queretaro de Arteaga
SI, Sinaloa, Sinaloa
SL, San Luis Potosi, San Luis Potosi
SO, Sonora, Sonora
TA, Tamaulipas, Tamaulipas
TB, Tabasco, Tabasco
TL, Tlaxcala, Tlaxcala
VC, Veracruz-Llave, Veracruz-Llave
YU, Yucatan, Yucatan
ZA, Zacatecas, Zacatecas